2024-03-24 00:56:45.472 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.473 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.474 | ERROR    | agentscope.utils.logging_utils:write:34 - 

2024-03-24 00:56:45.474 | ERROR    | agentscope.utils.logging_utils:write:34 - 
2024-03-24 00:56:45.474 | ERROR    | agentscope.utils.logging_utils:write:34 -   File "D:\codelib\anaconda3\envs\chatglm2-6b\Lib\site-packages\agentscope\models\__init__.py", line 85, in load_model_by_config_name

2024-03-24 00:56:45.474 | ERROR    | agentscope.utils.logging_utils:write:34 - 
2024-03-24 00:56:45.475 | ERROR    | agentscope.utils.logging_utils:write:34 -     
2024-03-24 00:56:45.475 | ERROR    | agentscope.utils.logging_utils:write:34 - return _get_model_wrapper(model_type=model_type)(**config)
2024-03-24 00:56:45.475 | ERROR    | agentscope.utils.logging_utils:write:34 - 

2024-03-24 00:56:45.476 | ERROR    | agentscope.utils.logging_utils:write:34 - 
2024-03-24 00:56:45.476 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.476 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.476 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.478 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.478 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.478 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.478 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.479 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.479 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.479 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.480 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.480 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.480 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.480 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.481 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.481 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.481 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.482 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.482 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.482 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.482 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.482 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.482 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.484 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.484 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.484 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.485 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.485 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.486 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.486 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.486 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.486 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.487 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.487 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.487 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.487 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.488 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.488 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.488 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.489 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.489 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.489 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.489 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.491 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.491 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.491 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.492 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.492 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.492 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.492 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.493 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.493 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.493 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.494 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.494 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.494 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.494 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.496 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.496 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.496 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.497 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.497 | ERROR    | agentscope.utils.logging_utils:write:34 - ^
2024-03-24 00:56:45.497 | ERROR    | agentscope.utils.logging_utils:write:34 - 

2024-03-24 00:56:45.498 | ERROR    | agentscope.utils.logging_utils:write:34 - 
2024-03-24 00:56:45.498 | ERROR    | agentscope.utils.logging_utils:write:34 - TypeError
2024-03-24 00:56:45.498 | ERROR    | agentscope.utils.logging_utils:write:34 - : 
2024-03-24 00:56:45.499 | ERROR    | agentscope.utils.logging_utils:write:34 - PostAPIModelWrapperBase.__init__() missing 1 required positional argument: 'api_url'
2024-03-24 00:56:45.499 | ERROR    | agentscope.utils.logging_utils:write:34 - 

